Time,Bx,By,Sensor Angle,Sensor Magnitude,Command,Error,State
0.223140496,0,0,0,0,0,0,0
0.446280496,0,0,0,0,0,0,0
0.669420496,0,0,0,0,0,0,0
0.892560496,0,0,0,0,0,0,0
1.115700496,0,0,0,0,0,0,0
1.338840496,0,0,0,0,0,0,0
1.561980496,0,0,0,0,0,0,0
1.785120496,0,0,0,0,0,0,0
2.008260496,-0.197384948,0.587173761,0,0.619462544,0,0,0
2.231400496,-0.197384948,0.685036055,0,0.712906175,0,0,0
2.454540496,-0.098692474,0.587173761,0,0.595410136,0,0,0
2.677680496,0,0.391449174,0,0.391449174,0,0,0
2.900820496,0.098692474,0.391449174,0,0.403698725,0,0,0
3.123960496,0.197384948,0.391449174,0,0.438398533,0,0,0
3.347100496,0.098692474,0.293586881,0,0.309731272,0,0,0
3.570240496,0,0.195724587,0,0.195724587,0,0,0
3.793380496,0,0.293586881,0,0.293586881,0,0,0
4.016520496,0,0.293586881,0,0.293586881,0,0,0
4.239660496,0.098692474,0.097862294,0,0.138986449,0,0,0
4.462800496,0.098692474,0.097862294,0,0.138986449,0,0,0
4.685940496,-0.197384948,0.195724587,0,0.277972897,0,0,0
4.909080496,-0.394769896,0.489311468,0,0.62870421,0,0,0
5.132220496,-0.49346237,0.391449174,0,0.629871072,0,0,0
5.355360496,-0.592154844,0.391449174,0,0.709844924,0,0,0
5.578500496,-0.690847318,0.489311468,0,0.846578838,0,0,0
5.801640496,-0.888232267,0.587173761,0,1.064767385,0,0,0
6.024780496,-1.085617215,0.782898348,0,1.338467243,0,0,0
6.247920496,-1.184309689,0.587173761,0,1.321878385,0,0,0
6.471060496,-1.381694637,0.782898348,0,1.588083717,0,0,0
6.694200496,-1.283002163,0.782898348,0,1.503005114,0,0,0
6.917340496,-1.283002163,0.685036055,0,1.454430798,0,0,0
7.140480496,-1.184309689,0.587173761,0,1.321878385,0,0,0
7.363620496,-1.085617215,0.587173761,0,1.2342357,0,0,0
7.586760496,-0.986924741,0.489311468,0,1.101565321,0,0,0
7.809900496,-0.888232267,0.293586881,0,0.935494423,0,0,0
8.033040496,-0.690847318,0.195724587,0,0.718037695,0,0,0
8.256180496,-0.789539792,0,0,0.789539792,0,0,0
8.479320496,-0.690847318,0,0,0.334630353,0,0,0
8.702460496,-0.592154844,0.097862294,0,0.290716587,0,0,0
8.925600496,-0.789539792,0.195724587,0,0.39401037,0,0,0
9.148740496,-0.592154844,0.097862294,0,0.290716587,0,0,0
9.371880496,-0.394769896,-0.195724587,0,0.213429035,0,0,0
9.595020496,-0.394769896,-0.097862294,0,0.197005185,0,0,0
9.818160496,-0.394769896,0,0,0.191217344,0,0,0
10.0413005,-0.394769896,-0.097862294,0,0.197005185,0,0,0
10.2644405,-0.296077422,-0.097862294,0,0.151043904,0,0,0
10.4875805,-0.098692474,-0.293586881,0,0.150026615,0,0,0
10.7107205,-0.098692474,-0.587173761,0,0.288402804,0,0,0
10.9338605,0,-0.685036055,0,0.331815512,0,0,0
11.1570005,0.197384948,-0.685036055,0,0.345315149,0,0,0
11.3801405,0.394769896,-0.587173761,0,0.342717078,0,0,0
11.6032805,0.394769896,-0.587173761,0,0.342717078,0,0,0
11.8264205,0.394769896,-0.587173761,0,0.342717078,0,0,0
12.0495605,0.592154844,-0.685036055,0,0.438600841,0,0,0
12.2727005,0.690847318,-0.685036055,0,0.471252593,0,0,0
12.4958405,0.986924741,-0.782898348,0,0.610189757,0,0,0
12.7189805,0.986924741,-0.587173761,0,0.556252081,0,0,0
12.9421205,1.283002163,-0.489311468,0,0.665118238,0,0,0
13.1652605,1.283002163,-0.293586881,0,0.637519215,0,0,0
13.3884005,1.184309689,-0.391449174,0,0.604175617,0,0,0
13.6115405,0.888232267,-0.391449174,0,0.47016714,0,0,0
13.8346805,0.888232267,-0.293586881,0,0.453131713,0,0,0
14.0578205,0.986924741,-0.587173761,0,0.556252081,0,0,0
14.2809605,0.789539792,-0.489311468,0,0.449922819,0,0,0
14.5041005,0.592154844,-0.293586881,0,0.320143553,0,0,0
14.7272405,0.394769896,-0.293586881,0,0.238299818,0,0,0
14.9503805,0.098692474,-0.195724587,0,0.10617502,0,0,0
15.1735205,-0.296077422,-0.195724587,0,0.171916175,0,0,0
15.3966605,-0.394769896,-0.097862294,0,0.197005185,0,0,0
15.6198005,-0.592154844,0.195724587,0,0.302087808,0,0,0
15.8429405,-0.49346237,-0.097862294,0,0.243676699,0,0,0
16.0660805,-0.690847318,-0.195724587,0,0.347800738,0,0,0
16.2892205,-0.690847318,-0.097862294,0,0.337971068,0,0,0
16.5123605,-0.690847318,-0.195724587,0,0.347800738,0,0,0
16.7355005,-0.592154844,-0.293586881,0,0.320143553,0,0,0
16.9586405,-0.888232267,0,0,0.430239025,0,0,0
17.1817805,-1.381694637,0.293586881,0,0.684202179,0,0,0
17.4049205,-1.283002163,0.489311468,0,0.665118238,0,0,0
17.6280605,-1.381694637,0.391449174,0,0.695601475,0,0,0
17.8512005,-1.480387111,0.391449174,0,0.741710047,0,0,0
18.0743405,-1.776464533,0.782898348,0,0.94033428,0,0,0
18.2974805,-1.776464533,0.978622935,0,0.982404948,0,0,0
18.5206205,-2.171234429,1.174347522,0,1.19567006,0,0,0
18.7437605,-2.269926903,1.467934403,0,1.309376922,0,0,0
18.9669005,-2.368619377,1.565796696,326,1.3753294,100,-236,1
19.1900405,-2.171234429,1.370072109,327,1.243571203,100,-237,1
19.4131805,-1.677772059,1.076485229,327,0.965568197,100,-237,1
