Format Version,1.24,Take Name,VectorSurgeTrials_013SNAP,Take Notes,,Capture Frame Rate,60,Export Frame Rate,60,Capture Start Time,2024-09-10 04.04.56.425 PM,Capture Start Frame,33991,Total Frames in Take,9894,Total Exported Frames,9894,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,
,Name,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,,,,,,,,,,
,ID,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,,,,,,,,,,
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,
0,0,0.463796,0.105543,0.452559,3233.172363,-4.278149,1127.575684,10.621695,-7.05642,42.724312,-2577.252197,-2874.940186,33.199646,,,,,,,,,,
1,0.016667,0.449242,0.018051,0.456484,3233.235107,-4.318046,1127.579712,10.634411,-6.981431,42.852695,-2577.212158,-2874.867676,33.275478,,,,,,,,,,
2,0.033333,0.432504,-0.030373,0.428052,3233.26123,-4.319623,1127.55249,10.624367,-7.05846,42.759487,-2577.240723,-2874.931152,33.230343,,,,,,,,,,
3,0.05,0.428496,-0.050177,0.449368,3233.261719,-4.301027,1127.532349,10.562816,-6.970186,42.868484,-2577.216064,-2874.854004,33.27124,,,,,,,,,,
4,0.066667,0.43075,-0.040573,0.430237,3233.295654,-4.312619,1127.505127,10.678711,-7.051577,42.866734,-2577.208252,-2874.793213,33.272934,,,,,,,,,,
5,0.083333,0.427356,-0.032978,0.426305,3233.286621,-4.319357,1127.522217,10.701292,-7.192287,42.762997,-2577.236816,-2874.899902,33.223148,,,,,,,,,,
6,0.1,0.444291,0.009779,0.425938,3233.275879,-4.304716,1127.532715,10.68727,-7.193771,42.855282,-2577.204346,-2874.822998,33.260128,,,,,,,,,,
7,0.116667,0.461394,-0.009197,0.465814,3233.239502,-4.316884,1127.579834,10.63621,-7.224474,42.814716,-2577.195068,-2874.862793,33.220535,,,,,,,,,,
8,0.133333,0.467785,-0.002427,0.459649,3233.217529,-4.31131,1127.592163,10.68568,-7.256343,42.79755,-2577.194824,-2874.839111,33.254288,,,,,,,,,,
9,0.15,0.481185,0.018884,0.487891,3233.202148,-4.32411,1127.576294,10.682666,-7.270097,42.696323,-2577.241943,-2874.946533,33.160408,,,,,,,,,,
10,0.166667,0.486321,0.000072,0.501949,3233.207275,-4.321486,1127.5896,10.626801,-7.031968,42.785984,-2577.243164,-2874.881836,33.230934,,,,,,,,,,
11,0.183333,0.463395,-0.035097,0.478643,3233.239502,-4.336678,1127.591431,10.574573,-6.944049,42.921188,-2577.211182,-2874.785645,33.335152,,,,,,,,,,
12,0.2,0.440015,-0.028385,0.464341,3233.229248,-4.296946,1127.579956,10.609424,-7.044086,42.794651,-2577.218018,-2874.914307,33.260315,,,,,,,,,,
13,0.216667,0.448513,0.016772,0.432963,3233.230225,-4.320478,1127.54187,10.672227,-7.223414,42.800411,-2577.214355,-2874.908447,33.211243,,,,,,,,,,
14,0.233333,0.448168,0.018201,0.45075,3233.22998,-4.333807,1127.558594,10.627019,-7.165244,42.848022,-2577.19458,-2874.852539,33.247631,,,,,,,,,,
15,0.25,0.470546,0.009895,0.476826,3233.234131,-4.337868,1127.586426,10.604388,-6.969189,42.871086,-2577.199463,-2874.852783,33.271889,,,,,,,,,,
